"Condition","day","phase","hour","id","Trial","n","mean_Temp","sd_Temp","se_Temp"
"WT","Morphine Day 1","dark",21,53407,5,58,34.4422413793103,0.967956869967542,0.1270989637575
"WT","Morphine Day 1","dark",21,1105702,7,60,34.8816666666667,0.43680335980993,0.0563910712703768
"WT","Morphine Day 1","dark",21,1105717,6,60,35.1636666666667,0.476793551126145,0.0615537827696885
"WT","Morphine Day 1","dark",21,1105717,7,60,35.2685,0.219311905432438,0.028313045245495
"WT","Morphine Day 1","dark",21,1110188.3,3,60,35.4363333333333,0.334820805433911,0.043225180113643
"WT","Morphine Day 1","dark",21,1113216.3,3,60,35.3375,0.155700984615286,0.0201009106801033
"WT","Morphine Day 1","dark",21,1114201.3,3,60,33.5946666666667,0.190845280014872,0.024638019706663
"WT","Morphine Day 1","dark",21,1114204.3,3,60,35.5953333333333,0.319695123127352,0.0412724629245321
"WT","Morphine Day 1","dark",21,1115463.3,3,60,35.4923333333333,0.335171934965773,0.0432705107412852
"WT","Morphine Day 1","dark",22,53375,5,58,36.2808620689655,0.396777742738282,0.0520994700370965
"WT","Morphine Day 1","dark",22,53376,5,59,36.6708474576271,0.582823946137854,0.0758772148412336
"WT","Morphine Day 1","dark",22,53377,4,59,35.8618644067797,0.612945051754152,0.0797986487789578
"WT","Morphine Day 1","dark",22,53377,5,60,36.5008333333333,0.620967783947416,0.0801665961919889
"WT","Morphine Day 1","dark",22,53406,5,56,35.6819642857143,0.512854470383371,0.0685330613374991
"WT","Morphine Day 1","dark",22,53407,4,60,36.1718333333333,0.223018519157055,0.0287915670197038
"WT","Morphine Day 1","dark",22,53407,5,58,34.0203448275862,1.12826207842166,0.148148068848444
"WT","Morphine Day 1","dark",22,1105702,7,60,34.4711666666667,0.284665082227427,0.036750104090453
"WT","Morphine Day 1","dark",22,1105717,6,60,34.8445,0.506755799846401,0.0654218924466377
"WT","Morphine Day 1","dark",22,1105717,7,60,34.968,0.270340651394884,0.0349008280218417
"WT","Morphine Day 1","dark",22,1110188.3,3,60,35.2393333333333,0.255534446028994,0.032989355128421
"WT","Morphine Day 1","dark",22,1113216.3,3,60,35.4863333333333,0.258233678609823,0.0333378245561908
"WT","Morphine Day 1","dark",22,1114201.3,3,60,34.0191666666667,0.0822829279133206,0.0106226803161825
"WT","Morphine Day 1","dark",22,1114204.3,3,60,35.337,0.270600712790472,0.0349344018036452
"WT","Morphine Day 1","dark",22,1115463.3,3,60,35.6771666666667,0.20802616904046,0.026856062942301
"WT","Morphine Day 1","dark",23,53375,5,60,35.96,0.507322649983658,0.065495072484684
"WT","Morphine Day 1","dark",23,53376,5,60,36.5195,0.795424255201406,0.102688829785483
"WT","Morphine Day 1","dark",23,53377,4,60,35.5798333333333,0.51201659025911,0.0661010575685146
"WT","Morphine Day 1","dark",23,53377,5,58,36.3101724137931,0.71411702657667,0.0937681594041742
"WT","Morphine Day 1","dark",23,53406,5,59,35.9410169491525,0.887061586547666,0.115485581925562
"WT","Morphine Day 1","dark",23,53407,4,60,36.6821666666667,0.370547426762386,0.0478374670943578
